Timestamp,Temp_C,Temp_Apar_C,Hum_Abs,Hum_Rel,Press_Abs_mBar,Rad_Sol,LUX,Vol_Bat
2016/10/28-20:00:02,23.77,24.37,599.03,83.00,822.51,0,0.00,2630
2016/10/28-20:30:02,23.04,23.61,745.12,84.58,1020.61,0,0.00,2590
2016/10/28-21:00:02,22.40,22.98,746.81,87.70,1020.71,0,0.00,2533
2016/10/28-21:30:02,21.81,22.43,748.19,91.24,1020.56,0,0.00,2568
2016/10/28-22:00:02,21.36,22.00,749.31,93.66,1020.54,0,0.00,2529
2016/10/28-22:30:02,20.94,21.58,750.44,95.33,1020.63,0,0.00,2489
2016/10/28-23:00:02,20.45,21.08,751.74,96.74,1020.70,0,0.00,2511
2016/10/28-23:30:02,19.99,20.58,752.97,97.13,1020.77,0,0.00,2546
2016/10/29-00:00:02,19.60,20.16,753.97,97.79,1020.75,0,0.00,2494
2016/10/29-00:30:02,19.16,19.75,755.29,100.54,1021.00,0,0.00,2529
2016/10/29-01:00:02,18.70,19.28,756.41,101.73,1020.91,0,0.00,2533
2016/10/29-01:30:02,18.21,18.68,757.62,99.55,1020.82,0,0.00,2511
2016/10/29-02:00:02,17.97,18.49,758.08,102.11,1020.62,0,0.00,2502
2016/10/29-02:30:02,17.60,18.00,759.01,99.32,1020.56,0,0.00,2441
2016/10/29-03:00:02,17.37,17.86,759.45,103.34,1020.36,0,0.00,2432
2016/10/29-03:30:02,17.22,17.65,759.66,101.67,1020.13,0,0.00,2428
2016/10/29-04:00:02,16.93,17.34,760.36,101.96,1020.05,0,0.00,2414
2016/10/29-04:30:02,16.54,16.89,761.35,101.23,1019.99,0,0.00,2401
2016/10/29-05:00:02,16.42,16.78,761.69,102.17,1020.03,0,0.00,2463
2016/10/29-05:30:02,15.98,16.30,762.91,102.06,1020.12,0,0.00,2463
2016/10/29-06:00:02,15.94,16.34,762.96,105.50,1020.03,0,0.00,2419
2016/10/29-06:30:02,15.63,15.98,763.92,104.72,1020.22,0,0.00,2357
2016/10/29-07:00:02,15.44,15.81,764.31,106.11,1020.07,0,0.00,2428
2016/10/29-07:30:02,15.34,15.71,764.62,106.47,1020.14,0,0.00,2331
2016/10/29-08:00:02,15.24,15.60,764.82,106.22,1020.07,0,0.00,2362
2016/10/29-08:30:02,15.18,15.53,765.02,106.23,1020.11,0,478.00,2344
2016/10/29-09:00:02,15.16,15.50,765.28,105.97,1020.38,0,3166.00,2362
2016/10/29-09:30:02,15.39,15.75,764.81,105.96,1020.59,0,4734.00,2260
2016/10/29-10:00:02,16.15,16.61,763.06,106.69,1020.92,0,10830.80,2331
